SERIE,NVONRO,NSEGRUP,NSE,SEXO,GEDAD,EDAD,NIVEDU,P10A,P10B,P10C,P11A,P11B,P11C,P12A,P12B,P12C,P12D,P12E,P12F,P12G,P12H,P13A,P13B,P13C,P13D,P13E,P13F,P13G,P13H,index_O,index_B
2012,20120058,C,3,Mujer,2,41,Superiortecnica completa,3,4,4,3,3,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,6,1
2012,20120059,C,3,Hombre,3,45,Superiortecnica completa,2,3,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120060,AB,2,Hombre,1,18,Superior universitaria incompleta,3,3,4,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120061,C,3,Mujer,1,28,Superior universitaria incompleta,2,3,4,3,3,3,0,1,1,0,0,0,0,0,1,2,2,1,1,1,1,1,2,1
2012,20120062,C,3,Hombre,1,22,Superior universitaria incompleta,2,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120063,AB,2,Mujer,1,18,SuperiorTecnicaincompleta,3,4,4,2,2,3,1,1,0,1,1,0,0,1,1,2,1,1,1,1,1,1,5,1
2012,20120064,AB,2,Hombre,2,35,SecundariaCompleta,2,3,4,3,2,2,0,0,1,0,1,0,0,1,1,2,2,1,1,1,1,1,3,1
2012,20120065,C,3,Hombre,1,28,SuperiorTecnicaincompleta,2,2,4,2,2,3,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120066,C,3,Mujer,3,47,SecundariaIncompleta,2,3,4,2,2,2,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,0,0
2012,20120067,AB,2,Mujer,2,44,Superior universitaria incompleta,2,3,4,2,3,3,1,0,1,0,0,0,0,0,1,2,2,1,1,1,1,1,2,1
2012,20120068,C,3,Hombre,1,20,Superior universitaria incompleta,3,4,4,2,2,2,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0,0
